#;755,90;805,180;;790,180;760,250;710,300;660,350;615,405;515,405;410,485;375,585;390,655;330,645;215,660;100,755;;;;;;$
#;755,75;795,170;;;770,240;720,290;670,340;625,400;525,400;415,475;375,575;385,650;345,640;225,650;120,740;105,760;;;;;$
#;760,60;785,160;;;780,230;730,280;680,330;635,390;540,400;415,460;380,565;380,640;360,635;235,640;140,725;135,770;;;;$
#;760,45;775,150;;;785,220;740,270;690,320;645,380;555,400;420,445;385,555;380,630;370,620;245,630;160,710;155,780;;;;185,765;$
#;765,30;765,140;;;790,210;750,260;700,310;655,370;570,405;425,430;385,545;380,620;370,610;255,620;180,695;155,710;;;;$
#;765,15;760,130;;;790,200;760,250;710,300;660,360;585,405;445,425;385,535;375,610;370,600;265,610;200,680;;;;$
#;825,75;825,165;;890,215;945,300;930,365;830,450;745,560;670,645;;675,585;;740,555;745,415;700,320;;;;;;;;705,310;665,365;590,430;550,460;;650,380;720,325;700,320;;
#;820,60;810,150;815,155;880,205;945,285;945,380;855,475;765,580;685,660;;675,580;;730,560;735,420;725,330;;;;;;;;;;;;705,325;680,335;705,315;725,330;;
#;820,45;820,130;805,140;870,195;935,275;950,350;855,450;785,600;700,675;710,660;680,570;;750,560;755,420;750,315;;;;;;;;;;;;690,330;665,355;715,315;750,315;;
;;;;;;;;;;;;#;765,40;820,170;820,245;745,285;710,290;;;;;;695,320;640,390;565,445;525,470;;625,390;685,315;710,290;;
;;;;;;;;;;;;#;765,25;805,155;835,230;760,275;690,305;;;;690,325;645,385;565,445;535,475;;;;640,400;690,325;690,305;;
;;;;;;;;;;;;#;765,10;790,140;850,215;770,270;760,295;;;;;;715,320;650,380;580,435;545,480;;640,390;700,330;760,295;;
;;;;;;;;;;;;;;#;765,25;765,50;775,100;790,135;815,170;830,195;830,240;800,260;765,280;735,280;;;695,315;665,340;680,305;735,280;;
;;;;;;;;;;;;;;#;765,10;765,35;770,85;785,120;805,160;820,185;830,225;820,245;800,265;760,285;725,300;;;;;;;
640,670;;;;;;;;655,670;670,670;;690,595;;720,585;675,645;470,665;300,650;220,660;210,665;165,700;120,745;;160,720;;;265,665;395,560;510,510;615,415;665,350;685,330;;
460,770;;;;;;;;;;520,730;470,725;410,675;375,660;305,700;160,820;135,800;140,780;135,800;140,780;115,760;;;;;;;;;;;;
625,655;;;;;;;;640,655;675,675;;700,560;;710,570;680,650;;415,675;230,665;;145,755;85,750;;;140,775;;;;;;;;;
605,645;;;;;;;;630,655;680,680;;700,565;;;695,665;620,670;315,640;220,655;;135,755;90,745;;95,750;;;;;;;;;;
595,655;;;;;;;;630,670;685,685;;700,570;;;675,580;650,660;325,660;235,670;;145,765;100,740;;;;;255,660;380,500;500,505;580,405;650,310;670,280;675,260;
590,680;;;;;;;;645,675;665,665;;695,575;;;680,575;660,665;340,650;225,705;;155,750;110,735;;;;;240,665;380,626;450,540;580,430;695,360;675,325;;
600,705;;;;;;;;655,680;660,660;;695,580;;;600,700;475,690;335,675;220,705;;155,720;125,740;;;;;250,685;350,635;365,590;530,450;645,375;695,335;;
615,690;;;;;;;;630,680;655,655;;690,585;;;680,590;585,680;360,640;235,690;;165,720;130,740;155,710;;;;;;;;;;;
630,700;;;;;;;;660,690;650,650;;690,590;;;690,670;;380,625;235,705;;170,710;115,730;;;;;255,680;375,605;410,585;545,450;640,380;665,310;;
560,765;;;;;;;;630,725;690,690;730,660;690,595;;;515,690;390,655;370,645;230,660;;175,705;140,710;205,680;;;;;;;;;;;
540,775;;;;;;;;615,730;680,690;725,665;685,600;;;755,575;560,665;375,665;230,700;;155,700;160,715;165,730;;;;220,695;390,580;520,520;565,385;635,335;650,315;;
525,760;;;;;;;;615,740;695,695;720,675;685,605;;695,605;680,655;;385,660;225,710;;150,705;190,670;;;;;240,645;315,600;470,470;555,360;620,300;675,295;;
540,740;;;;;;;;600,735;705,690;715,680;680,610;;715,560;730,435;700,615;430,665;300,665;210,690;145,710;75,745;;145,760;;;;;;;;;;
560,740;;;;;;;;590,730;705,700;700,690;670,630;570,660;720,575;750,460;705,620;455,650;320,660;215,690;170,700;85,740;;95,745;;;;;;;;;;
